#,Word,Pinyin,Part of speech,Simple Native‑Speaker Definition (in 简单话),isAtomic,modifyee,qualifiers,comment (native thinking & specificity note),speaking commonality index,writing commonality index,isIgnored
41,不同,bù tóng,adjective (different),不一样,FALSE,一样,不,Native thinks: “not the same.” Negation of 一样.,90,90,
46,不够,búgòu,verb/adverb (not enough; insufficiently),不够,FALSE,够,不,Native thinks: “not sufficient.” Use 不够 as phrase; not atomic.,80,75,
13,不好意思,bù hǎoyìsi,"phrase (sorry, embarrassed)",心里不太舒服，抱歉,FALSE,心,不舒服，抱歉,Native thinks: “feeling awkward or apologetic.” Not atomic.,80,60,
58,不如,bùrú,"verb (not as good as, inferior to)",没有…好,FALSE,好,没有,Native thinks: “not as good as.” Use 没有好. Not atomic.,75,80,
79,不安,bù’ān,adjective (uneasy),心里不安静,FALSE,心,不静,Native thinks: “heart not calm.” Not atomic; defined as 心里不定.,65,80,
88,不宜,bùyí,verb (not advisable),最好不要,FALSE,最好,不要,Native thinks: “better not.” Not atomic; defined as 最好不.,60,80,
14,不客气,bú kèqi,phrase (you’re welcome),不用谢,FALSE,谢,不用,Native thinks: “no need to thank.” Phrase; not atomic. Use 不用谢.,85,60,
89,不已,bùyǐ,verb (endlessly),不停,FALSE,停,不,Native thinks: “without stopping.” Use 不停. Not atomic.,55,75,
74,不幸,búxìng,adjective/noun (unfortunate; misfortune),运气不好,FALSE,运气,不好,Native thinks: “bad luck.” Not atomic; defined as 运气不好.,65,75,
82,不得,bùdé,verb (must not),不能,FALSE,能,不,Native thinks: “cannot.” Use 不能. Not atomic.,65,80,
51,不得不,bùdébù,"adverb (have to, cannot but)",只能,FALSE,只能,—,Native thinks: “have no choice but to.” Use 只能. Not atomic.,75,80,
77,不得了,bùdéliǎo,"adjective (terrible, serious)",很严重,FALSE,严重,很,Native thinks: “very serious.” Not atomic; defined as 很严重.,65,65,
43,不必,búbì,adverb (need not),不需要,FALSE,需要,不,Native thinks: “not necessary.” Use 不需要. Not atomic.,75,80,
81,不成,bùchéng,verb/adverb/aux (won’t do),不行,FALSE,行,不,Native thinks: “cannot work.” Use 不行. Not atomic.,65,75,
69,不料,búliào,conjunction (unexpectedly),没想到,FALSE,想,没到,Native thinks: “not expected.” Use 没想到. Not atomic.,60,75,
45,不断,búduàn,verb/adverb (continuous; constantly),一直不停,FALSE,不停,—,Native thinks: “without stopping.” Use 不停. Not atomic.,75,80,
85,不时,bùshí,adverb (occasionally),有时,FALSE,有时,—,Native thinks: “sometimes.” Use 有时. Not atomic.,65,75,
80,不曾,bùcéng,adverb (never),从来没有,FALSE,没有,从来,Native thinks: “never have.” Not atomic; defined as 从没.,60,80,
91,不止,bùzhǐ,verb/adverb (to not stop),不停,FALSE,停,不,Native thinks: “does not stop.” Use 不停. Not atomic.,65,75,
56,不满,bùmǎn,"adjective (dissatisfied, displeased)",不满意,FALSE,满意,不,Native thinks: “not satisfied.” Use 不满意. Not atomic.,70,75,
80,不然,bùrán,conjunction/adjective (otherwise),如果不这样,FALSE,如果,不这样,Native thinks: “if not this way.” Not atomic; defined as 如果不这样.,70,75,
40,不用,búyòng,adverb (need not),不需要,FALSE,需要,不,Native thinks: “do not need to.” Negation of 需要.,85,75,
84,不禁,bùjīn,adverb (cannot help but),不能控制自己,FALSE,忍,不住,Native thinks: “cannot refrain from.” Not atomic; defined as 忍不住.,60,80,
78,不符,bùfú,verb (not in accordance with),不一样,FALSE,一样,不,Native thinks: “not the same.” Use 不一样. Not atomic.,60,75,
53,不管,bùguǎn,"conjunction (no matter, regardless of)",(atomic – irrespective),TRUE,—,—,Native thinks: “without considering.” Basic conjunction; atomic.,80,85,
67,不耐烦,bú nàifán,phrase (impatient),心里急，不能等,FALSE,心,急，不能等,"Native thinks: “heart in a hurry, cannot wait.” Not atomic; defined as 急.",70,70,
71,不至于,búzhìyú,verb (unlikely to),不会到那种程度,FALSE,不会,那种程度,Native thinks: “will not reach that level.” Not atomic; defined as 不会那样.,60,75,
79,不良,bùliáng,"adjective (bad, harmful)",不好,FALSE,好,不,Native thinks: “not good.” Use 不好. Not atomic.,65,80,
43,不行,bùxíng,"verb/adjective (not allowed, not good)",不可以；不好,FALSE,可以,不,"Native thinks: “not permissible, or not good.” Use 不可以 or 不好.",85,75,
15,不要,búyào,"adverb (don’t, not want)",不需要,FALSE,要,不,Native thinks: “do not want or do not need.” Not atomic; use 不要 as phrase.,90,75,
75,不要紧,búyàojǐn,adjective (not serious),没关系,FALSE,关系,没,Native thinks: “it doesn’t matter.” Use 没关系. Not atomic.,70,60,
39,不见,bújiàn,"verb (to disappear, to not see)",看不到了,FALSE,看,不到,Native thinks: “can’t see something; or something goes away.” Defined as 看 + 不到.,65,60,
87,不许,bùxǔ,verb (not allowed),不准,FALSE,准,不,Native thinks: “not permitted.” Use 不准. Not atomic.,65,75,
48,不论,búlùn,"conjunction (no matter, regardless)",不管,FALSE,不管,—,Native thinks: “no matter.” Use 不管. Not atomic.,70,80,
82,不足,bùzú,verb/noun (insufficient; shortage),不够,FALSE,够,不,Native thinks: “not enough.” Use 不够. Not atomic.,65,80,
47,不过,búguò,"conjunction/adverb (but, however; only)",但是,FALSE,但是,—,Native thinks: “but; however.” Use 但是. Not atomic.,80,80,
70,不适,búshì,adjective (uncomfortable),身体不舒服,FALSE,舒服,不,Native thinks: “body not comfortable.” Not atomic; defined as 不舒服.,65,70,
12,不错,búcuò,"adjective (not bad, pretty good)",不坏,FALSE,坏,不,Native thinks: “not bad.” Use 不坏. Not atomic.,85,75,
68,不顾,búgù,verb (to disregard),不管,FALSE,管,不,Native thinks: “to not care about.” Not atomic; defined as 不管.,65,80,
897,与,yǔ,"preposition/conjunction (with, and)","(atomic – and, with)",TRUE,—,—,Native thinks: “together with.” Basic conjunction; atomic.,70,85,
1608,与其,yǔqí,conjunction,不如,FALSE,不如,—,Native thinks: “rather than.” Use 不如.,60,65,
168,丑,chǒu,adjective (ugly),不好看,FALSE,好看,不,Native thinks: “not beautiful.” Use 不好看. Not atomic.,65,65,
969,专业,zhuānyè,noun/adjective (specialty; professional),学的专门东西,TRUE,东西,学，专门,Native thinks: “a specialized field of study.” Not atomic; defined as 学的东西.,75,85,
1760,专利,zhuānlì,noun,专,FALSE,专,—,Native thinks: “patent.” Use 专.,50,70,
1556,专家,zhuānjiā,noun (expert),在某方面很懂的人,FALSE,人,很懂，某方面,Native thinks: “a person with deep knowledge in a specific field.” Not atomic; defined as 很有学问的人.,80,90,
1557,专心,zhuānxīn,adjective (concentrated),心里只做一件事,FALSE,心,只做,Native thinks: “heart focused on one thing.” Not atomic; defined as 心里只做一件.,75,75,
1763,专注,zhuānzhù,adjective,专心,FALSE,心,专,"Native thinks: “concentrated, focused.” Use 专心.",65,70,
1762,专用,zhuānyòng,verb,专门用,FALSE,用,专门,"Native thinks: “dedicated, specialized.”",55,70,
1759,专科,zhuānkē,noun,专门科,FALSE,科,专门,"Native thinks: “specialized subject, specialty.”",55,70,
968,专门,zhuānmén,adverb/adjective (specially; special),只做这一个事,FALSE,做,只,Native thinks: “to focus on one thing only.” Not atomic; defined as 只做一件.,75,80,
1761,专题,zhuāntí,noun,专门题,FALSE,题,专门,Native thinks: “special topic.”,55,70,
335,世界,shìjiè,noun (world),"(atomic – earth, all things)",TRUE,—,—,Native thinks: “the earth and everything on it.” Basic noun; keep atomic.,90,95,
672,世纪,shìjì,noun (century),一百年,FALSE,年,一百,Native thinks: “a hundred years.” Not atomic; defined as 一百年.,65,85,
1534,业,yè,suffix,行业,FALSE,行业,—,Native thinks: “suffix meaning industry or trade.”,55,70,
1345,业余,yèyú,adjective (amateur),不专业的；工作外的时间,FALSE,专业,不/工作外,Native thinks: “not professional; also free time.” Not atomic; two senses.,70,75,
1344,业务,yèwù,noun (business),工作上的事,FALSE,事,工作,Native thinks: “work‑related matters.” Not atomic; defined as 工作的事.,75,85,
97,东,dōng,noun (east),太阳出来的方向,TRUE,—,—,Native thinks: “the direction where the sun rises.” Basic direction; keep as atomic.,70,70,
98,东北,dōngběi,noun (northeast),东和北的中间方向,FALSE,方向,东，北，中间,Native thinks: “the direction between east and north.” Compound of 东 + 北; not atomic.,55,60,
100,东南,dōngnán,noun (southeast),东和南的中间方向,FALSE,方向,东，南，中间,Native thinks: “the direction between east and south.” Compound; not atomic.,50,55,
99,东方,dōngfāng,noun (east),东的方向,FALSE,方向,东,Native thinks: “the direction of east.” Built from 东 + 方向; not atomic.,60,65,
40,东西,dōngxi,"noun (thing, object)",(atomic – general object),TRUE,—,—,Native thinks: “any physical object.” Basic noun; atomic.,95,90,
165,东部,dōngbù,noun (eastern part),东边的地方,FALSE,地方,东边,Native thinks: “the area in the east.” Not atomic; defined as 东边的地方.,65,70,
96,丢,diū,"verb (to lose, to throw away)",找不到,TRUE,找,不到,Native thinks: “cannot find something; or throw away.” Defined as 找不到 (cannot find). Not atomic.,75,65,
287,丢失,diūshī,"verb (to lose, be missing)",丢了,FALSE,丢,了,Native thinks: “to have lost something.” Not atomic; defined as 丢了.,65,75,
111,两,liǎng,number (two),(atomic – number 2),TRUE,—,—,Native thinks: “the number 2 (used before measure words).” Basic number; atomic.,90,85,
473,两,liǎng,"classifier (for vehicles, animals)",(not used – use 个),FALSE,—,—,Native thinks: “measure word for vehicles and some animals.” Classifier ignored; use 个.,60,65,
847,两岸,liǎng’àn,noun,河或海的两边,FALSE,边,河海，两边,"Native thinks: “both sides (e.g., of a strait).”",55,70,
848,两极,liǎngjí,noun,地球的南北两头,FALSE,头,地球，南北,Native thinks: “two poles (North and South).”,50,65,
1503,严,yán,adjective,管得紧，不许随便,TRUE,紧,不许随便,Native thinks: “strict (tight control).”,70,70,
1507,严厉,yánlì,adjective,严,FALSE,严,—,"Native thinks: “severe, harsh.” Use 严.",60,65,
1505,严寒,yánhán,adjective,非常冷,FALSE,冷,非常,Native thinks: “severe cold.”,55,60,
845,严格,yángé,adjective (strict),很严,TRUE,严,很,Native thinks: “very strict.” Not atomic; defined as 很严.,65,80,
1506,严禁,yánjìn,verb,完全不准,FALSE,不准,完全,Native thinks: “strictly prohibit.”,55,70,
1328,严肃,yánsù,adjective/verb (serious; to be serious),不笑，认真,FALSE,认真,不笑,"Native thinks: “not smiling, earnest.” Not atomic; defined as 认真.",70,80,
848,严重,yánzhòng,adjective (serious),很不好,FALSE,好,不,Native thinks: “very bad.” Use 很不好. Not atomic.,75,85,
1131,丧失,sàngshī,verb,失去,FALSE,失去,—,Native thinks: “to lose.” Use 失去.,55,70,
60,个,gè,classifier (general measure word),(atomic – the only measure word in 简单话),TRUE,—,—,Native thinks: “a general unit for counting.” Keep atomic as the sole classifier.,99,90,
400,个人,gèrén,noun (individual),一个人,FALSE,人,一,Native thinks: “one person.” Not atomic; defined as 一个人.,80,85,
445,个体,gètǐ,noun,一个单独的人或物,FALSE,一个,单独的,"Native thinks: “a single, separate person or thing.”",55,75,
398,个别,gèbié,"adverb/adjective (individual, a few)",几个特别的,FALSE,几个,特别,Native thinks: “a few special ones.” Not atomic; defined as 几个特别的.,65,75,
44,个子,gèzi,"noun (height, stature)",身体的高度,FALSE,高度,身体,Native thinks: “the height of a person.” Not atomic; defined as 身体的高度.,75,70,
401,个性,gèxìng,noun (personality),一个人的特点,FALSE,特点,人,Native thinks: “the unique characteristics of a person.” Not atomic; defined as 人的特点.,70,80,
481,中,zhōng,noun (middle),(atomic – center),TRUE,—,—,Native thinks: “the center or inside.” Basic spatial word; keep atomic.,85,85,
1728,中,zhòng,verb,打中,FALSE,打,中,"Native thinks: “to hit, be hit by.”",70,65,
1523,中介,zhōngjiè,noun (agency),在中间帮人联系的,FALSE,人/公司,帮联系,Native thinks: “a person or company that helps connect.” Not atomic; defined as 帮两边联系的人.,70,80,
1528,中医,zhōngyī,noun (Chinese medicine practitioner),用中药治病的医生,FALSE,医生,用中药,Native thinks: “a doctor who uses Chinese medicine.” Not atomic; defined as 用中药的医生.,70,80,
291,中午,zhōngwǔ,noun (noon),一天的一半，十二点,FALSE,时候,一天的一半，十二点,"Native thinks: “the middle of the day, 12 o’clock.” Not atomic; defined via 时候 + 十二点.",85,80,
1520,中华,Zhōnghuá,noun (China),中国的别的名字,FALSE,中国,—,Native thinks: “another name for China.” Use 中国. Not atomic.,70,85,
1521,中华民族,Zhōnghuá Mínzú,noun (Chinese nation),中国的所有民族,FALSE,民族,中国,Native thinks: “all ethnic groups of China.” Not atomic; defined as 中国的各个民族.,70,85,
289,中国,Zhōngguó,noun (China),中国的国家,FALSE,国家,中国,"Native thinks: “the country of China.” Not atomic; defined as 中国的国家? Actually 中国 is a proper noun; could be atomic for simplicity. But follow earlier pattern: 国 is atomic, 中国 = 中 + 国. Mark non‑atomic.",95,95,
1525,中外,zhōngwài,noun (China and abroad),中国和外国,FALSE,中国,外国,Native thinks: “China and other countries.” Not atomic; defined as 中国和外国.,70,85,
1726,中央,zhōngyāng,noun,中心,FALSE,中心,—,Native thinks: “center.” Use 中心.,65,75,
1731,中奖,zhòngjiǎng,verb,得奖,FALSE,得,奖,Native thinks: “to win a prize.”,65,55,
292,中学,zhōngxué,noun (middle school),初中和高中的学校,FALSE,学校,初中，高中,Native thinks: “school for grades 7–12.” Not atomic; defined via 学校 + 初中 + 高中.,80,85,
293,中学生,zhōngxuéshēng,noun (middle school student),中学的学生,FALSE,学生,中学,Native thinks: “a student at middle school.” Not atomic; defined as 中学的学生.,80,80,
958,中年,zhōngnián,noun (middle age),不老不小的年龄,FALSE,年龄,不老不小,Native thinks: “age between young and old.” Not atomic; defined as 不老不小的年纪.,70,75,
1526,中心,zhōngxīn,noun (center),最中间的地方,FALSE,地方,最中间,Native thinks: “the very middle place.” Not atomic; defined as 中间的地方.,80,85,
290,中文,Zhōngwén,noun (Chinese language),中国的文字,FALSE,文字,中国,Native thinks: “the writing system of China.” Not atomic; defined as 中国的文字.,85,90,
1722,中断,zhōngduàn,verb,停,FALSE,停,—,Native thinks: “to interrupt.” Use 停.,60,70,
1725,中旬,zhōngxún,noun,十天,FALSE,十天,—,Native thinks: “middle ten days of a month.” Use 十天.,55,60,
1733,中暑,zhòngshǔ,noun / verb,热晕,FALSE,热,晕,Native thinks: “heatstroke” or “to suffer heatstroke.”,60,55,
1524,中期,zhōngqī,noun (medium term),中间的时间,FALSE,时间,中间,Native thinks: “the middle period.” Not atomic; defined as 中间的时间.,65,80,
1730,中毒,zhòngdú,verb,毒,FALSE,毒,—,Native thinks: “to be poisoned.” Use 毒.,60,60,
1720,中等,zhōngděng,adjective,中间,FALSE,中间,—,"Native thinks: “medium, moderate.” Use 中间.",65,65,
1522,中级,zhōngjí,adjective (intermediate),不高不低的级别,FALSE,级别,不高不低,Native thinks: “level that is neither high nor low.” Not atomic; defined as 中间级别.,65,80,
1527,中药,zhōngyào,noun (Chinese medicine),中国传统的治病的东西,FALSE,药,中国,Native thinks: “traditional Chinese medicine.” Not atomic; defined as 中国的传统药.,70,80,
482,中间,zhōngjiān,"noun (middle, between)",中的里面,FALSE,中,里面,Native thinks: “inside the middle.” Not atomic; defined as 中的里面.,85,80,
957,中餐,zhōngcān,noun (Chinese food),中国的饭,FALSE,饭,中国,Native thinks: “Chinese cuisine.” Not atomic; defined as 中国的饭.,70,70,
204,丰富,fēngfù,"adjective (rich, abundant)",很多，不少,FALSE,多,很,"Native thinks: “a lot, not few.” Use 很多. Not atomic.",70,80,
358,丰富多彩,fēngfù-duōcǎi,phrase (rich and colorful),又多又好,FALSE,多,好,Native thinks: “very many and very good.” Not atomic; defined as 很多好.,60,75,
394,丰收,fēngshōu,verb,地里长的东西收了很多,FALSE,收,很多,Native thinks: “to harvest a lot from the fields.”,60,65,
